optimizer,sharpe_ratio,max_drawdown,time_underwater,cagr,risk_adjusted_return,annual_return,annual_volatility,total_return,returns_mean,returns_std,returns_min,returns_max,returns_q25,returns_q50,returns_q75,returns_skew,returns_kurtosis,invested_5_abs_mean,invested_5_abs_std,invested_5_abs_min,invested_5_abs_max,invested_5_pct_mean,invested_5_pct_std,invested_5_pct_min,invested_5_pct_max,invested_10_abs_mean,invested_10_abs_std,invested_10_abs_min,invested_10_abs_max,invested_10_pct_mean,invested_10_pct_std,invested_10_pct_min,invested_10_pct_max,invested_50_abs_mean,invested_50_abs_std,invested_50_abs_min,invested_50_abs_max,invested_50_pct_mean,invested_50_pct_std,invested_50_pct_min,invested_50_pct_max,invested_100_abs_mean,invested_100_abs_std,invested_100_abs_min,invested_100_abs_max,invested_100_pct_mean,invested_100_pct_std,invested_100_pct_min,invested_100_pct_max,invested_top_5_mean,invested_top_5_std,invested_top_5_min,invested_top_5_max,invested_top_10_mean,invested_top_10_std,invested_top_10_min,invested_top_10_max,invested_top_50_mean,invested_top_50_std,invested_top_50_min,invested_top_50_max,turnover_mean,turnover_std,turnover_min,turnover_max,turnover_q25,turnover_q50,turnover_q75,change_rate_mean,change_rate_std,change_rate_min,change_rate_max,change_rate_q25,change_rate_q50,change_rate_q75,avg_computation_time,max_computation_time,min_computation_time,avg_memory_usage_mb,max_memory_usage_mb
HigherMoment,1.1949768723783336,0.3347498307676619,0.808651597817615,0.2794986089968923,0.06048989311729727,0.26815500038566403,0.20766510726836676,11.300908704066602,0.26815500038566403,0.20766510726836676,-32.93461449331977,38.67963927590834,-1.0609590750695,0.14786983798118314,1.6443494289501857,0.5417204288949545,20.110237557063556,17.713709677419356,38.338925018937076,3.0,283.0,0.06259261370112847,0.13547323328246316,0.01060070671378092,1.0,17.669354838709676,38.34305447278202,3.0,283.0,0.06243588282229568,0.1354878249921626,0.01060070671378092,1.0,17.39516129032258,38.36587521939775,3.0,283.0,0.061467001025874844,0.13556846367278355,0.01060070671378092,1.0,17.088709677419356,38.39924765136259,3.0,283.0,0.06038413313575744,0.1356863874606452,0.01060070671378092,1.0,0.7538781095271294,0.16221264301913005,0.017667844522968202,0.9999999999999633,0.938479454371085,0.14261746125481267,0.0353356890459364,1.0,0.983400595414457,0.11595332607518849,0.176678445229682,1.0000000000000002,0.5914577898955132,0.2557544988064018,0.0,0.9999999999998566,0.38091549381169,0.6011636022570613,0.8367545726521823,inf,,-0.5550638920597729,inf,1909184277.7161407,310124345045.821,,0.0,0.0,0.0,0.0,0.0
NCOSharpeOptimizer,0.9290302763656698,0.3987138984014142,0.7907248636009353,0.19516677285582196,0.006511914035348787,0.19656600011504421,0.19005408607969543,5.14354272369042,0.19656600011504421,0.19005408607969543,-33.17350063133142,32.50913700790869,-0.9906961998245172,0.18109509442179572,1.6088926584387577,-0.5471648986813086,20.07103515751733,144.6451612903226,7.35308858336215,122.0,167.0,0.5111136441354155,0.02598264517089099,0.43109540636042404,0.5901060070671378,142.10887096774192,7.24025534809032,119.0,164.0,0.5021514875185227,0.025583941159329753,0.4204946996466431,0.5795053003533569,120.58870967741936,6.477631516937167,99.0,138.0,0.4261085147611991,0.022889157303664903,0.3498233215547703,0.4876325088339223,95.86290322580645,5.556241232917278,77.0,113.0,0.33873817394277894,0.019633361247057522,0.27208480565371024,0.3992932862190813,0.11581725208998703,0.012043892989351516,0.08860524310355275,0.15436940924345227,0.2048484432593733,0.018027817698533972,0.16249199961430216,0.26597795985594547,0.655443336531065,0.030816479693615537,0.5684441380614129,0.7578635681940769,0.43995384971409585,0.18131682842009073,0.252642965521032,0.948413923167589,0.3426966249699254,0.3860056016914498,0.4278491110519409,inf,,inf,inf,,,,0.0,0.0,0.0,0.0,0.0
CappedMomentum,1.0860631541566448,0.37221184731882223,0.7911145752143414,0.2227397902213044,0.03568867544328652,0.21798126740118007,0.18229259195789355,6.749655209875121,0.21798126740118007,0.18229259195789355,-32.245649204350606,22.24677991436074,-1.083746205579292,0.23570934686532308,1.6683369782573223,-0.9010388760601478,14.699591002631713,181.2701612903226,52.34983920463565,37.0,276.0,0.6405306052661575,0.18498176397397756,0.13074204946996468,0.9752650176678446,178.08870967741936,51.20578663162148,37.0,273.0,0.6292887267753334,0.18093917537675433,0.13074204946996468,0.9646643109540636,149.7540322580645,40.323790506859105,35.0,233.0,0.5291661917246097,0.14248689225038552,0.12367491166077739,0.823321554770318,108.625,21.871183877662553,34.0,143.0,0.3838339222614841,0.07728333525675814,0.12014134275618374,0.5053003533568905,0.11539845917445124,0.05686431405204386,0.04904251639410887,0.3682296677346001,0.19245871486810176,0.08668971812527354,0.08692280220449786,0.5767082230455944,0.5644482809662805,0.15286486592741896,0.3311302370540425,1.0,0.2614061977550718,0.09751966022921404,0.11128842456845467,0.632267202399187,0.19353583845622951,0.24184293645171973,0.2960198936333318,inf,,-0.3144115896639612,inf,,,,0.0,0.0,0.0,0.0,0.0
Naive,0.7727161825544118,0.3808752905595227,0.8094310210444271,0.1543925926586549,-0.021243272345117303,0.1602182712379005,0.1814615435830178,3.3143692068316764,0.1602182712379005,0.1814615435830178,-32.648412265130794,29.158432348735115,-0.9964364054706949,0.14381352684946336,1.4809811022162203,-0.6056204465697397,19.171484946153065,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017667844522968188,3.476463029800795e-18,0.01766784452296819,0.01766784452296819,0.035335689045936376,6.95292605960159e-18,0.03533568904593638,0.03533568904593638,0.17667844522968193,2.781170423840636e-17,0.1766784452296819,0.1766784452296819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMA_ROBUST_SHARPE,0.7483965334269047,0.38219139030013805,0.813328137178488,0.14848243516607695,-0.025332607102642207,0.1548422041592378,0.18017481126188,3.0946676388577066,0.1548422041592378,0.18017481126188,-32.66283385342277,30.264845423164772,-0.9484606400976374,0.14914156932093903,1.4819626308095986,-0.566173687017454,20.07023927334874,262.59274193548384,5.059911080607978,237.0,273.0,0.9278895474752077,0.017879544454445152,0.8374558303886925,0.9646643109540636,254.20967741935485,6.063462211030037,222.0,268.0,0.8982674113758119,0.021425661523074336,0.784452296819788,0.9469964664310954,201.45967741935485,8.232845439158632,146.0,219.0,0.7118716516584975,0.02909132664013651,0.5159010600706714,0.773851590106007,138.5201612903226,6.503159989760563,111.0,152.0,0.4894705345947794,0.022979363921415426,0.392226148409894,0.5371024734982333,0.03754884111472247,0.005404003501057565,0.03326655578226396,0.07942724473547813,0.0747088915844144,0.009552609375504825,0.06649110710123439,0.14908588120005953,0.3468811610416468,0.023528053407472976,0.3199658292916126,0.5157852236868095,0.14467470514549483,0.01940471632964808,0.11345643202514544,0.3517684095465591,0.13603367270514655,0.14218236002183027,0.14880374484904377,489700946.7125889,7695787306.772007,0.5216026961986084,120948820929.01598,6.197782735645505,19.736387065699592,118.90486943115222,0.0,0.0,0.0,0.0,0.0
CMA_MAX_DRAWDOWN,0.7651336683471589,0.3808227422330448,0.8168355416991426,0.1542234432732401,-0.023117154020732278,0.1604645186579396,0.18358167267867187,3.3079364347955114,0.1604645186579396,0.18358167267867187,-33.36554014646212,29.40828745093671,-1.0173045512778924,0.1558342245717661,1.5046818912001658,-0.6223677608304565,19.429839684395553,191.0040322580645,10.123327765689837,183.0,252.0,0.6749259090390971,0.03577147620385101,0.6466431095406361,0.8904593639575972,175.23387096774192,9.42140630138802,169.0,239.0,0.6192009574831872,0.033291188344127275,0.5971731448763251,0.8445229681978799,147.93548387096774,4.547975365683538,143.0,184.0,0.5227402256924656,0.016070584331037238,0.5053003533568905,0.6501766784452296,140.93951612903226,3.9223705661294157,120.0,144.0,0.49801949162202214,0.01385996666476826,0.42402826855123676,0.508833922261484,0.03641037869676281,0.0033986124916738024,0.0353160110026807,0.06729246169832992,0.07266930235396267,0.005633954293397785,0.0706278366541546,0.12070560069877574,0.36033813572493895,0.013551238628235382,0.3524699153743321,0.4578140543373555,0.06837551456695873,0.020403259798011063,0.0644914759218648,0.30374420270572633,0.06472575320476276,0.06497331330189199,0.06556099877873424,69.7448784189588,25.62847291538258,13.955291022440745,126.8361673620111,46.11736337209318,48.12323435344834,95.4153478615523,0.0,0.0,0.0,0.0,0.0
AdjustedReturns_MeanVariance,1.1255222593550762,0.5284214471281299,0.9025720966484801,0.642022960107751,0.09054650533233233,0.6525703702212771,0.5620238648889447,154.9938620394167,0.6525703702212771,0.5620238648889447,-53.07831728738461,75.65819994740453,-3.3030010874093025,0.12463193688431407,4.210551949556191,0.6477985880371039,7.1246267405923795,1.4959677419354838,0.9264357884981911,1.0,6.0,0.005286105095178388,0.0032736246943398982,0.0035335689045936395,0.02120141342756184,1.4959677419354838,0.9264357884981911,1.0,6.0,0.005286105095178388,0.0032736246943398982,0.0035335689045936395,0.02120141342756184,1.4959677419354838,0.9264357884981911,1.0,6.0,0.005286105095178388,0.0032736246943398982,0.0035335689045936395,0.02120141342756184,1.4959677419354838,0.9264357884981911,1.0,6.0,0.005286105095178388,0.0032736246943398982,0.0035335689045936395,0.02120141342756184,0.9991570711603494,0.007676913394773209,0.9238235301740759,1.0,0.999999999999998,1.2619401694849181e-15,0.9999999999999936,1.0,0.9999999999999991,7.946495983937804e-16,0.9999999999999963,1.0000000000000002,0.4418199131363457,0.4357234317337071,0.0,0.9999999999999999,3.884660257780094e-15,0.38594340852750275,0.9999999999999933,inf,,0.0,inf,,,,0.0,0.0,0.0,0.0,0.0
AdjustedReturns_SemiVariance,1.1161685517305517,0.5727675155463614,0.9045206547155106,0.6088848065027035,0.08225978909179787,0.6182033655961092,0.5359435765043113,125.75015623581147,0.6182033655961092,0.5359435765043113,-53.07831728738461,75.65819994740458,-3.096354629145724,0.13216377618256914,4.028470508738356,0.6195944932647085,7.985634415832854,1.7137096774193548,1.1142677686762847,1.0,6.0,0.006055511227630228,0.0039373419387854595,0.0035335689045936395,0.02120141342756184,1.7096774193548387,1.1113998434945134,1.0,6.0,0.0060412629659181575,0.00392720792754245,0.0035335689045936395,0.02120141342756184,1.7016129032258065,1.1128970743660116,1.0,6.0,0.006012766442494015,0.003932498495992974,0.0035335689045936395,0.02120141342756184,1.7016129032258065,1.1128970743660116,1.0,6.0,0.006012766442494015,0.003932498495992974,0.0035335689045936395,0.02120141342756184,0.9993098836544289,0.0063929329288380035,0.9275155802226506,0.9999999999999999,0.9999999999999984,1.007432308607468e-15,0.9999999999999931,1.0,0.9999999999999993,6.355799371545775e-16,0.9999999999999957,1.0000000000000002,0.4741879062989287,0.41727141046119604,0.0,1.0,3.55770715472114e-15,0.5013174656576547,0.9837528004203016,inf,,0.0,inf,,,,0.0,0.0,0.0,0.0,0.0
MaxSharpe,1.0317678303374558,0.3531263591205751,0.7930631332813718,0.18400162016038912,0.024967439319779627,0.18133440763372277,0.15636696831394314,4.583579082476464,0.18133440763372277,0.15636696831394314,-30.652896747595527,23.15518748053602,-0.7866293641763158,0.23347161612639145,1.3794389888550445,-1.0649717250241157,21.709633149978803,282.25,5.767597609597502,196.0,283.0,0.9973498233215546,0.020380203567482335,0.6925795053003534,1.0,156.75806451612902,60.4730837796931,29.0,282.0,0.5539154223184772,0.21368580840880952,0.10247349823321555,0.9964664310954063,32.29838709677419,9.456467348642738,27.0,78.0,0.11412857631368974,0.03341507897046904,0.09540636042402827,0.2756183745583039,30.600806451612904,7.653286409724253,26.0,65.0,0.1081300581329078,0.027043414875350717,0.09187279151943463,0.22968197879858657,0.17628896485800105,0.0030866082059329957,0.1485608328226599,0.18411009344800688,0.3507713810815538,0.010834009036560581,0.25438798499352266,0.3667450637128029,0.9150413126932588,0.014044034588835007,0.8281911519621049,0.9522687669272667,0.4132189672158592,0.1276472798463075,0.06993338816912859,0.7693546744606844,0.32633250540848735,0.41567518476762777,0.49645294600034856,3.6703751010499537,1.5238266601193735,0.43329173828017575,10.75187189697808,2.7066466825874764,3.6227484151147595,4.5614865442589405,0.0,0.0,0.0,0.0,0.0
EfficientReturn,0.844585277819509,0.3705378816360343,0.8067030397505845,0.165209625520645,-0.007340007401365506,0.168576450304708,0.1759164577060735,3.7441893300221505,0.168576450304708,0.1759164577060735,-32.066796717193554,23.2696512002003,-0.9824202677530889,0.163129400297378,1.5336994102695671,-0.8167367205792413,17.01269438193661,282.96774193548384,0.5080005080007618,275.0,283.0,0.9998860139063034,0.0017950547985892628,0.9717314487632509,1.0,282.59274193548384,2.4361206762653227,263.0,283.0,0.9985609255670808,0.008608200269488768,0.9293286219081273,1.0,266.5040322580645,43.22298814661987,69.0,283.0,0.9417103613359171,0.15273140687851544,0.24381625441696114,1.0,99.53629032258064,36.210231481107265,13.0,166.0,0.3517183403624758,0.1279513479897783,0.045936395759717315,0.5865724381625441,0.04938708224056874,0.0270632253823604,0.017899463016109514,0.18381816181838184,0.08380797215698473,0.04388123740559007,0.035748927532174034,0.3005869941300587,0.2775464605214319,0.10329928971052822,0.1779446616601502,0.7801324105928474,0.11270357758007087,0.09257993016726342,0.007011215364505791,0.5385097627801025,0.047256482022516144,0.08939855001548025,0.13532282568088547,inf,,-0.1613178621025638,inf,-0.0018836066205889668,0.013055900815856848,0.061150244431395356,0.0,0.0,0.0,0.0,0.0
CMA_CVAR,0.7686347022785815,0.3799569212193841,0.8187840997661731,0.15495199659814984,-0.022468392171172108,0.16108719109658,0.18355558326775212,3.335705150652953,0.16108719109658,0.18355558326775212,-33.063871556715505,29.823934107898012,-1.0238722874710855,0.15569837936111774,1.4971300856282523,-0.5918967381389445,19.38613386824702,191.66129032258064,10.071314213559521,184.0,253.0,0.6772483756981648,0.03558768273342587,0.6501766784452296,0.8939929328621908,182.31854838709677,8.66278621984674,179.0,242.0,0.6442351533112961,0.030610552013592727,0.6325088339222615,0.8551236749116607,150.20967741935485,4.7933391597485295,148.0,196.0,0.5307762452980738,0.016937594204058416,0.5229681978798587,0.6925795053003534,141.4516129032258,3.937476613818454,117.0,144.0,0.49982902085945513,0.013913344925153543,0.4134275618374558,0.508833922261484,0.03602304965102949,0.0026945358196034303,0.034990355422024895,0.06238607319656369,0.07196785715383955,0.004758974541198364,0.06997654397301495,0.11416303236103639,0.35718065962446355,0.011445523501828068,0.3494755606990239,0.4262717561081931,0.06915543252172603,0.013887118818390012,0.06645652006920884,0.24415383109527344,0.06668947256634337,0.06683650105235883,0.0670347640271429,999.5788767169267,900.7782573210516,68.69646922880898,1923.5461028559625,99.8421026381358,1286.6211522041701,1923.4167179153148,0.0,0.0,0.0,0.0,0.0
CMA_MEAN_VARIANCE,0.8075589185346342,0.38328982937809397,0.8043647700701481,0.16244745551100603,-0.015116021572455174,0.16736072042597872,0.1824767419984339,3.6309121153905233,0.16736072042597872,0.1824767419984339,-32.24856164101579,29.832868225318656,-0.9826645697674912,0.17621479978413745,1.5506038665764574,-0.583478601371466,18.591986117427965,259.8467741935484,5.902781002217602,240.0,271.0,0.9181864812492874,0.020857883400062203,0.8480565371024735,0.9575971731448764,250.21774193548387,7.214538272948417,225.0,264.0,0.8841616322808615,0.025493068102291228,0.7950530035335689,0.9328621908127208,194.1048387096774,8.647218596032156,158.0,210.0,0.6858828222956798,0.030555542742163093,0.558303886925795,0.7420494699646644,136.47177419354838,6.143296408819842,114.0,149.0,0.4822324176450473,0.021707761161907573,0.4028268551236749,0.5265017667844523,0.03857773986496665,0.004894380159061141,0.03393139713277666,0.07741484494203547,0.07676783301706366,0.008582793213265312,0.06783412913902095,0.1384436256809475,0.3571891577098213,0.021742299761177343,0.32544736099776833,0.48728684883808665,0.14609265060674279,0.023412951279405746,0.09345814956098254,0.3669212130891383,0.13658009845838712,0.14441072682792766,0.15174492758346514,19175.265418965027,288760.4126618041,0.8306473166887516,4538239.336546144,8.045549214358218,21.57021304247095,86.3507707685138,0.0,0.0,0.0,0.0,0.0
CMA_SORTINO,0.7616242651103332,0.36926645822505877,0.8102104442712393,0.14971641229876465,-0.02241260560503114,0.15551072885122966,0.1779233344562608,3.1396871641136768,0.15551072885122966,0.1779233344562608,-31.942563542024434,28.153956706619972,-0.9650869369307933,0.1521825197331239,1.4873318643804856,-0.5780551752951318,18.798918150446998,259.68951612903226,9.37675063102885,138.0,271.0,0.9176307990425167,0.03313339445593233,0.4876325088339223,0.9575971731448764,250.82258064516128,9.869634769296177,131.0,262.0,0.8862988715376722,0.034875034520481185,0.4628975265017668,0.9257950530035336,196.47177419354838,9.310610033057523,119.0,216.0,0.6942465519206656,0.032899682095609624,0.4204946996466431,0.7632508833922261,136.48790322580646,6.641777879416304,94.0,147.0,0.4822894106918955,0.023469179785923333,0.3321554770318021,0.519434628975265,0.03845131476702461,0.006331857374833518,0.03466576208453395,0.10330800556721607,0.07651800613939927,0.011467411693492425,0.06923038099162233,0.19541508728260995,0.3556115485393568,0.029775232063998406,0.3276197134755101,0.6723280687002688,0.14704649840039904,0.02588118064297713,0.11690321874794252,0.40328614267347673,0.13809520309589113,0.1435202917019463,0.1505590962412805,1554760.7154042802,24404432.090886634,0.7630182943351472,383547625.44787645,5.870519831037987,17.467252919611,77.82170383383172,0.0,0.0,0.0,0.0,0.0
PSO_LMoments,0.7877691540548937,0.37576083051135123,0.8074824629773967,0.15784440531523747,-0.018603375658555965,0.16328995604187344,0.1818933317004294,3.447548599657642,0.16328995604187344,0.1818933317004294,-32.6220966226013,27.98095412576749,-0.9784488768655737,0.1703933087583165,1.518771704453484,-0.643854599389238,18.529141181841023,277.2782258064516,2.4658004254762185,269.0,283.0,0.979781716630571,0.008713075708396528,0.950530035335689,1.0,271.4233870967742,3.6232181743055794,260.0,281.0,0.9590932406246436,0.012802891075284735,0.9187279151943463,0.9929328621908127,219.7258064516129,7.433199091892757,200.0,238.0,0.7764162772141799,0.026265721172765922,0.7067137809187279,0.8409893992932862,140.08870967741936,5.125173399691957,124.0,158.0,0.49501310840077506,0.01811015335580197,0.4381625441696113,0.558303886925795,0.03553144821696931,0.0012515307965581535,0.03264050959411635,0.038959908015788,0.0701864581577573,0.002425339702983531,0.06490126423373725,0.07634022658085278,0.31926145523446503,0.009789040399054542,0.29482855815449205,0.3497059679553374,0.30520205407614215,0.01994421416514623,0.19818875336518146,0.35436156340090874,0.2944225604256132,0.30561429599155,0.31748193531489477,5.938599897597595,26.30726128553447,0.6247756512990004,363.6947778148026,1.3402730630914643,2.0456600089264443,3.3516353857480823,0.0,0.0,0.0,0.0,0.0
EfficientRisk,1.1307406395456037,0.5760174173985908,0.9033515198752923,0.6728544319255847,0.09706905821426925,0.6865495631446956,0.5894805049304264,187.526103990332,0.6865495631446956,0.5894805049304264,-53.0783172873848,75.65819994740474,-3.4641956621738026,0.13606418131531406,4.359367471254869,0.7021322684240312,7.2554396977473985,1.0040322580645162,0.06350006350009525,1.0,2.0,0.00354781716630571,0.0002243818498236581,0.0035335689045936395,0.007067137809187279,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,0.0035335689045936387,8.691157574501987e-19,0.0035335689045936395,0.0035335689045936395,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4898773279352227,0.5009113254738338,0.0,1.0,0.0,0.0,1.0,inf,,0.0,inf,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
CMA_L_MOMENTS,0.7832253864736564,0.38073541624442514,0.8067030397505845,0.158010977537546,-0.01977742704254623,0.16371927672490055,0.18349670376744678,3.4540681263774706,0.16371927672490055,0.18349670376744678,-33.25899009975522,30.83594295554192,-0.9723791442586536,0.17097976844984597,1.5184248614406215,-0.5578411298072156,19.41773177173414,259.7943548387097,6.016344841354919,236.0,271.0,0.9180012538470306,0.0212591690507241,0.833922261484099,0.9575971731448764,250.53629032258064,7.18739150936512,223.0,263.0,0.8852872449561152,0.025397143142632934,0.7879858657243817,0.9293286219081273,196.08467741935485,9.991741888599552,163.0,219.0,0.6928787187963068,0.035306508440281104,0.5759717314487632,0.773851590106007,136.8790322580645,7.266018453107487,105.0,153.0,0.48367149207796645,0.025674976866104197,0.3710247349823322,0.5406360424028268,0.03829817234471632,0.005549224986382854,0.032695035844419934,0.08174166333067502,0.07613932353674922,0.009419703236378491,0.06533476402276883,0.14430852518469917,0.35465457781502757,0.024116472077401845,0.31038269786844136,0.4999558291788082,0.14507651495311716,0.024753217081594753,0.09217370922792362,0.35044151105072646,0.13470178123838422,0.1424539572947265,0.14999320296511381,3306.184520702681,45535.23294089261,0.30919342628013247,715402.85203228,7.249749350174729,20.704313341406337,89.08352262436532,0.0,0.0,0.0,0.0,0.0
PSO_MeanVariance,0.7931908357053917,0.37960605407126863,0.8102104442712393,0.1589236238307521,-0.017599323638142983,0.16420753084235357,0.18180685448049655,3.4899417123821923,0.16420753084235357,0.18180685448049655,-32.625040635382284,28.461585540401153,-0.9822944581057209,0.15510753545977707,1.5112415077560044,-0.6472668594815183,19.00074220354693,277.27016129032256,2.6024740592253437,269.0,283.0,0.9797532201071467,0.00919602141069026,0.950530035335689,1.0,271.5,3.8356942796953266,260.0,281.0,0.959363957597173,0.013553690034259104,0.9187279151943463,0.9929328621908127,219.25,8.21090910557905,198.0,239.0,0.7747349823321557,0.029013813093918907,0.6996466431095406,0.8445229681978799,140.0241935483871,5.300620557479205,125.0,152.0,0.49478513621338194,0.018730107976958333,0.4416961130742049,0.5371024734982333,0.035588649603658755,0.001419447220760328,0.03158682090605992,0.03918357915156703,0.07030090860726142,0.0027459674309811746,0.06265603580896935,0.07766911586781011,0.3194780655602185,0.011840814595947397,0.2936922235738972,0.35425376573792966,0.30481991626540994,0.03493531619821753,0.0,0.35568340365868345,0.29330145127206714,0.3081926000794035,0.3211084978379384,4.618941971935318,22.459341132750225,0.0,347.23561834313733,1.4333840079935758,2.0099906598655086,3.283171035619293,0.0,0.0,0.0,0.0,0.0
SPY_Benchmark,0.6517156459032157,0.33717250197728266,0.8281371784879189,0.1251872609701823,-0.04047404782474992,0.13316007358612708,0.173634121410877,2.323522518140365,0.13316007358612708,0.173634121410877,-27.574756633855362,22.83196716669329,-0.8749846140677726,0.11130556711870376,1.4117683915019494,-0.5633528813560726,13.358013100703555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
A2A_Ensemble,1.1616894015739625,0.4018326107949671,0.8203429462197973,0.27040210301192436,0.05357329081447007,0.2612139307553167,0.2076406399408466,10.438930846361973,0.2612139307553167,0.2076406399408466,-34.843348697862716,28.941164695241042,-1.2638585310968273,0.22167474372252816,1.8684926079676725,-0.6264803222084687,12.791503182826304,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,283.0,0.0,283.0,283.0,1.0,0.0,1.0,1.0,234.15725806451613,9.190927346453618,202.0,263.0,0.8274108058816827,0.03247677507580784,0.7137809187279152,0.9293286219081273,52.62903225806452,5.701718956567742,34.0,66.0,0.18596831186595236,0.020147416807659867,0.12014134275618374,0.2332155477031802,0.23679102232342325,0.01205452256302536,0.19397291752927273,0.2747006452225434,0.27431982951775885,0.011870675117186074,0.23269658983554795,0.31848360092335587,0.45952035540039077,0.014223771720579025,0.401481922633592,0.5126999666385872,0.18711262035918041,0.08030024077520259,0.06292959804203876,0.3306608543990087,0.11112234236388405,0.1745610009034655,0.26883267378656683,0.112796005492956,0.07658264740640386,0.005923275895169481,0.42470853293565464,0.056680999221015535,0.08783278839563356,0.15807896863247722,,,,,
